Timestamp,"What’s your total salary in US dollars, ANNUAL BEFORE TAXES?",Your country,Zipcode,Primary database,Years of experience with DB,Other databases ,Job type,Job title,Do you manage other staff?,Years of service,How many other people on your team do the same job as you?,Number of database servers,Highest level of higher education completed,Is your college degree computer-related?,Do you hold industry certifications?,How many hours do you work per week?,Number of days do you work from home?,Employer sector,Are you looking for another job right now?,What are your career plans for the year 2018?,To which gender do you most identify?,Other job duties,What kinds of work do you do?
12/10/2017 12:44,115000,United States,84095,Microsoft SQL Server,15,"MySQL/MariaDB, Elasticsearch",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,None,28,Associates (2 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D"
12/10/2017 22:03,95000,Australia,7000,Microsoft SQL Server,10,"Microsoft SQL Server, Microsoft Access, Azure SQL DB",Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,None,80,Masters,Yes,"No, I never have",37,"None, or less than 1 day per week",State/province government,"Yes, but only passively (just curious)",Prefer not to say,Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks"
12/11/2017 2:28,60000,Spain,28080,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Redis, Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,12,More than 5,100,Masters,Yes,"Yes, and they're currently valid",50,3,Private business,No,"Stay with the same employer, same role",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, Training/teaching"
12/11/2017 8:00,49000,United States,75904,Microsoft SQL Server,5,"MySQL/MariaDB, MongoDB, DB2, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,None,4,None (no degree completed),N/A,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D"
12/11/2017 8:52,156000,United States,1463,Microsoft SQL Server,20,"Microsoft Access, Azure SQL DB, Hadoop",Full time employee,Architect,No,5,More than 5,0,Bachelors (4 years),No,"Yes, and they're currently valid",40,3,Private business,No,"Stay with the same employer, but change roles",Male,,"Meetings & management, Training/teaching"
12/11/2017 8:53,105000,United States,43016,Microsoft SQL Server,20,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,1,96,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,Engineer,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, R&D, Training/teaching"
12/11/2017 8:56,95000,United States,27244,Microsoft SQL Server,15,"Oracle, MySQL/MariaDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,1,30,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week","Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching"
12/11/2017 8:56,105000,United States,44017,Microsoft SQL Server,6,"MySQL/MariaDB, MongoDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,3,500,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,3,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects, R&D"
12/11/2017 8:57,121368,United States,300,Microsoft SQL Server,18,Microsoft Access,Full time employee of a consulting/contracting company,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,15,None,120,Bachelors (4 years),No,"No, I never have",50,5 or more,Federal government,No,"Stay with the same employer, same role",Male,"Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Projects"
12/11/2017 9:02,111000,United States,67052,Microsoft SQL Server,15,Oracle,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,1,200,None (no degree completed),N/A,"Yes, but they expired",45,2,Non-profit,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Data Scientist,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Training/teaching"
